ACCIDENT_NO,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN
T20120012238,4,2,50,2,1,1,0,0
T20120001075,1,2,100,5,0,1,0,0
T20120001057,1,3,40,5,1,1,0,0
T20120001055,1,2,50,2,3,1,0,0
T20120001054,1,3,60,1,2,1,0,0
T20120001053,1,3,60,2,6,1,0,0
T20120001052,1,2,80,5,0,1,0,0
T20120001051,1,2,60,5,2,1,1,0
T20120001041,1,2,100,1,1,1,0,0
T20120001096,3,3,50,5,0,1,0,0
T20120001104,1,3,40,1,3,1,0,0
T20120001106,2,2,50,5,0,1,0,0
T20120001110,1,2,60,2,2,1,0,0
T20120001113,1,2,60,2,0,1,1,0
T20120001120,1,2,100,5,2,1,1,0
T20120001791,1,3,60,1,2,1,0,0
T20120001187,1,3,40,2,1,1,1,1
T20120001209,1,3,60,2,1,1,1,0
T20120001152,1,3,70,2,1,1,1,1
T20120001180,1,3,60,2,4,1,1,1
T20120001179,5,3,100,5,0,1,1,1
T20120001173,1,3,100,2,1,1,1,1
T20120003893,1,2,60,1,1,1,1,0
T20120001123,1,3,100,5,0,1,1,0
T20120001124,1,3,100,5,0,1,1,0
T20120001131,2,3,100,1,1,1,1,1
T20120001100,1,2,80,1,0,1,1,1
T20120001165,1,2,60,2,1,1,1,1
T20120001137,1,3,60,2,3,1,1,1
T20120001149,1,3,80,1,3,1,1,1
T20120001145,1,3,60,1,0,1,1,0
T20120001148,1,3,50,4,1,1,1,1
T20120001169,1,2,70,5,1,1,1,1
T20120002291,1,2,50,5,1,1,1,1
T20120001164,1,3,60,1,1,1,1,1
T20120001162,1,3,50,1,1,1,1,1
T20120001161,1,3,60,5,1,1,1,1
T20120001160,1,2,60,2,4,1,1,1
T20120001156,1,2,100,5,0,1,1,1
T20120001150,1,2,110,5,2,1,1,1
T20120001309,1,3,80,5,4,1,1,1
T20130001817,1,3,50,2,1,1,1,1
T20120001243,1,3,60,1,1,1,1,1
T20120002776,1,3,60,5,1,1,1,1
T20120001091,3,1,60,5,5,1,0,1
T20120001166,1,1,80,5,0,1,1,1
T20120001159,1,3,50,2,1,1,1,1
T20120001291,1,3,80,5,1,1,1,0
T20120009621,2,2,100,5,1,1,0,0
T20120001259,1,2,70,5,0,1,0,0
T20120001260,1,2,50,1,2,1,1,1
T20120001251,1,2,100,5,1,1,1,0
T20120001250,1,3,60,1,1,1,1,0
T20120014248,1,3,60,1,1,1,1,1
