ACCIDENT_NO,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN,TAKEN_HOSPITAL,MEDIAN_AGE_GROUP,DAY_OF_WEEK,NO_OF_VEHICLES,NO_PERSONS,AGG_LIGH_SURF_ATMOS_COND,VEHICLE_YEAR_MANUF,VEHICLE_FUEL_TYPE,VEHICLES_TARE_WEIGHT,AGG_ROAD_SURFACE_TYPE,CAUGHT_FIRE,HIGHEST_LEVEL_OF_DAMAGE
T20120007105,SERIOUS,100,5,3,1,2,1,1.0,40-64,7,2,5,1.33,2008,P,1095.0,1,2,3
T20120007107,OTHER,60,1,2,1,2,1,1.0,17-25,7,2,4,1.0,1993,P,1079.0,1,2,4
T20120007113,SERIOUS,70,5,0,1,2,1,0.0,17-25,7,2,3,1.67,1997,P,1300.0,1,2,5
T20120007114,OTHER,50,5,1,1,2,0,1.0,40-64,1,1,2,1.67,2000,P,1570.0,1,2,0
T20120007116,FATAL,110,5,0,1,1,1,1.0,Under 16,1,2,3,2.67,2010,D,1600.0,1,2,3
T20120007120,OTHER,60,2,1,1,2,1,0.0,40-64,1,1,2,1.67,2009,M,1746.0,1,2,0
T20120007122,OTHER,100,5,0,1,2,1,0.0,26-39,1,2,1,2.0,1985,P,1020.0,1,2,4
T20120007123,SERIOUS,80,5,4,1,2,1,0.0,26-39,1,2,7,1.67,1990,P,1515.0,1,2,3
T20120007126,OTHER,60,5,1,1,2,1,1.0,17-25,7,2,2,1.0,2006,P,1341.0,1,2,3
T20120007127,SERIOUS,80,5,0,1,2,1,0.0,26-39,1,1,1,1.0,2011,P,1705.0,1,2,4
T20120007130,OTHER,80,1,1,1,2,0,1.0,17-25,7,2,2,1.0,1998,M,1275.0,1,2,1
T20120007134,SERIOUS,60,2,0,1,2,1,0.0,65+,1,2,2,1.0,1972,P,800.0,1,2,5
T20120007136,SERIOUS,100,5,0,1,1,1,1.0,26-39,1,1,1,1.0,1996,P,1347.0,1,2,5
T20120007137,OTHER,60,2,2,1,1,1,0.0,Under 16,1,2,4,1.0,2004,P,1424.0,1,2,2
T20120007139,SERIOUS,50,5,3,1,2,1,0.0,40-64,0,3,4,2.67,2002,P,1178.0,1,2,1
T20120007140,SERIOUS,50,2,0,1,2,1,0.0,17-25,1,2,1,1.0,1995,P,1174.0,1,2,2
T20120007141,SERIOUS,60,1,3,1,2,0,1.0,17-25,1,2,4,0.67,1992,P,1225.0,1,2,3
T20120007143,OTHER,60,5,0,1,2,1,1.0,40-64,7,1,1,1.67,2007,P,1131.0,3,2,0
T20120007144,OTHER,80,1,3,1,2,0,0.0,17-25,1,2,4,1.33,1996,P,1400.0,1,2,0
T20120007151,SERIOUS,60,5,1,1,2,1,1.0,26-39,1,2,2,0.67,1999,M,750.0,1,2,1
T20120007152,OTHER,50,5,1,1,2,0,0.0,26-39,1,2,2,1.0,1986,P,1357.0,1,2,1
T20120007154,OTHER,50,2,1,1,1,1,0.0,17-25,1,2,2,1.0,1992,P,1040.0,1,2,1
T20120007160,SERIOUS,60,2,1,1,2,1,0.0,26-39,1,2,2,1.0,1999,P,1310.0,1,2,2
T20120007162,SERIOUS,70,5,1,1,2,0,0.0,26-39,1,1,2,1.0,2003,P,1258.0,1,2,0
T20120007164,SERIOUS,70,2,4,1,2,1,1.0,26-39,1,2,5,1.0,2009,P,1542.0,1,2,2
T20120007166,OTHER,60,5,1,1,1,0,1.0,17-25,1,2,2,1.33,1989,P,1225.0,1,2,2
T20120007168,OTHER,70,2,2,1,1,0,1.0,17-25,0,2,4,1.0,1998,D,5270.0,1,2,1
T20120007169,OTHER,60,2,4,1,2,0,0.0,17-25,1,2,5,1.33,2001,P,1397.0,1,2,2
T20120007175,SERIOUS,70,5,0,1,2,1,0.0,40-64,1,1,1,2.33,2002,P,1100.0,1,2,5
T20120007179,SERIOUS,60,2,1,1,1,0,0.0,Under 16,7,2,2,1.0,1997,P,1313.0,1,2,3
T20120007183,SERIOUS,60,1,0,1,2,1,1.0,26-39,5,1,1,1.33,2003,P,2050.0,1,2,2
T20120007184,SERIOUS,40,4,2,1,2,1,1.0,26-39,2,2,3,1.0,2010,P,1740.0,1,2,1
T20120007191,SERIOUS,70,2,0,1,1,1,1.0,17-25,2,2,3,1.0,1996,P,1400.0,1,2,4
T20120007194,OTHER,100,2,1,1,2,0,1.0,40-64,7,2,2,1.33,1995,P,1150.0,1,2,1
T20120007195,OTHER,50,1,3,1,1,1,1.0,17-25,2,2,4,1.0,2000,M,1620.0,1,2,3
T20120007196,SERIOUS,80,1,0,1,1,1,1.0,Under 16,2,1,2,1.0,1990,P,1450.0,1,2,4
T20120007198,OTHER,50,5,1,1,2,1,1.0,17-25,2,2,2,1.0,1996,M,1267.0,1,2,1
T20120007199,OTHER,70,1,2,1,1,0,1.0,26-39,5,3,3,1.67,1990,P,1283.0,1,2,2
T20120007201,SERIOUS,60,2,1,1,2,1,0.0,40-64,2,1,2,1.0,2010,D,1700.0,1,2,0
T20120007202,OTHER,50,1,1,1,1,0,1.0,Under 16,3,2,2,0.33,2003,P,1407.0,1,2,2
T20120007203,OTHER,60,2,1,1,1,1,0.0,Under 16,1,2,2,1.0,1995,P,1245.0,1,2,0
T20120007205,OTHER,40,1,1,1,1,1,1.0,17-25,2,2,2,1.0,1997,P,1535.0,1,2,1
T20120007211,OTHER,60,1,1,1,2,1,1.0,17-25,5,2,2,0.33,1995,M,1200.0,1,2,0
T20120007217,SERIOUS,60,5,0,1,2,1,0.0,65+,2,3,1,1.0,1990,P,1533.0,3,2,2
